url,content
https://www.thedailyjagran.com/india/army-officer-placed-on-no-fly-list-by-spicejet-for-assaulting-airline-staff-report-10262923,"Army Officer Placed On No-Fly List By SpiceJet For Assaulting Airline Staff: Report
A controversy erupted after the army officer allegedly assaulted the staffers after being asked to pay for the extra luggage. However, the officer claimed that he was also insulted and assaulted by the staffers, leading to the escalation.
Army officer allegedly assaulted airline staff; IMAGE CREDIT: X
By
Aditya Jha
Tue, 26 Aug 2025 07:14 PM (IST)
Source:
JND
Add as a preferred
Related Articles
SpiceJet has reportedly placed an Army officer on the no-fly list for five years for allegedly assaulting airline staffers at Srinagar airport on July 26. While providing details, one of the officials stated that the officer has been declared ""unruly"", adding that he will not be able to fly on any of the SpiceJet domestic or international flights. A controversy erupted after the army officer allegedly assaulted the staffers after being asked to pay for the extra luggage. However, the officer claimed that he was also insulted and assaulted by the staffers, leading to the escalation.
“The passenger who hit the airline staff has been declared unruly, and it has been decided to put him on the airline’s no-fly list. He will not be able to fly in any of the SpiceJet domestic or international flights for five years,” one of the officials was quoted as saying by the Hindustan Times. Earlier on July 27, SpiceJet stated that the senior officer got aggressive after he was asked to pay for the extra luggage that he was carrying.
ALSO READ:
Noida Dowry Death Case: Inflammable Item Recovered From Nikki’s Room Adds New Dimension To Probe; Police To Revisit Timeline
The airline also stated that the accused forcefully entered the aerobridge without even completing the boarding process. He got aggressive and assaulted the staffers after being escorted by a CISF official, SpiceJet informed.
""When politely informed of the excess baggage and asked to pay the applicable charges, the passenger refused and forcefully entered the aerobridge without completing the boarding process - a clear violation of aviation security protocols. He was escorted back to the gate by a CISF official,"" SpiceJet said in a statement.
ALSO READ:
What Is Cashless Bail? Trump Signs Executive Order To Block Funding, Calls It Public Safety Risk
However, the officer lodged a counter-complaint by claiming that he was also assaulted by the airline staff, adding that his action was part of self-defence. The Army stated that the matter was being investigated and action will be taken based on the outcome."
https://www.thedailyjagran.com/india/bengaluru-traffic-advisory-diversions-parking-restrictions-announced-around-halasuru-lake-for-ganesh-idol-immersions-from-august-27-to-31-10262896,"Bengaluru Traffic Advisory: Diversions, Parking Restrictions Announced Around Halasuru Lake For Ganesh Idol Immersions From August 27 To 31
Bengaluru Traffic Advisory: Bengaluru Traffic Police has announced diversions from August 27–31 for Ganesh idol immersions at Halasuru Lake, where over 30,000 idols are expected. Restrictions will be enforced daily between 2 PM–4 AM. Alternative routes have been provided, and parking is banned near the lake. Citizens are urged to cooperate.
Bengaluru Traffic Advisory: Diversions Announced for Ganesh Idol Immersion at Halasuru Lake (Image/ Canva)
By
Deeksha Gour
Tue, 26 Aug 2025 06:11 PM (IST)
Source:
JND
Add as a preferred
Related Articles
Bengaluru Traffic Advisory:
Bengaluru City Traffic Police has issued a traffic advisory ahead of Ganesh idol immersions at Halasuru Lake Kalyani. The arrangements will be in place from August 27 to 31, when more than 30,000 idols are expected to be immersed. To handle the heavy rush, restrictions and diversions will be enforced every day between 2:00 PM and 4:00 AM.
Bengaluru Traffic Restriction For Ganeshotsav
Kensington Road will become one-way between the Kensington-Murphy Road Junction and MEG–Halasuru Lake stretch. Movement will be allowed only from MEG towards Kensington-Murphy Road. Similarly, traffic flow on Annaswamy Modaliyar Road will be altered in the direction leading to Halasuru Lake.
ALSO READ:
Jammu Rains: 5 Killed, 14 Injured In Landslide At Vaishno Devi Route; 3 Dead In Doda As Heavy Rains Wreak Havoc Across J-K
#ಸಂಚಾರಸಲಹೆ
#TrafficAdvisory
@DgpKarnataka
@KarnatakaCops
@CPBlr
@Jointcptraffic
@BlrCityPolice
@blrcitytraffic
@acpwfieldtrf
@acpeasttraffic
@mahadevapuratrf
@halairporttrfps
@KRPURATRAFFIC
@wftrps
@bwaditrafficps
@ftowntrfps
@jbnagartrfps
@halasoortrfps
@kghallitrfps
…
pic.twitter.com/GxcRnOqGEc
— DCP Traffic East ಉಪ ಪೊಲೀಸ್ ಆಯುಕ್ತರು ಸಂಚಾರ ಪೂರ್ವ (@DCPTrEastBCP)
August 26, 2025
Bengaluru Traffic Advisory: Alternative Routes
Vehicles approaching from Kensington Road via MEG must take a right at Gurudwara Junction and continue through Gangadhara Chetty Road, Dickenson Road, St John’s Road, Sri Circle, Lavanya Theatre Junction, Naga Junction, Promenade Road, and Wheelers Road before reaching Halasuru Lake.
Traffic from Thiruvallavar Statue Junction should move through Gangadhara Chetty Road, take a left at RBNMS, and then follow Dickenson Road, St John’s Road, Sri Circle, Lavanya Junction, and Naga Junction towards the lake.
ALSO READ:
Exhausted Security Guard Sleepwalks And Falls On Tracks After 16-Hour Shift At Bengaluru’s Metro Station; CCTV Video Goes Viral
Bengaluru Traffic Advisory: Parking Arrangements
Parking will not be permitted near the main entrance of Halasuru Lake and Kalyani, or along Kensington Road, Annaswamy Modaliyar Road, and Tank Road.
Deputy Commissioner of Police (Traffic-East), Sahil Bagla, has appealed to citizens to follow diversions, avoid parking in restricted zones, and cooperate with police during the immersion days."
https://www.thedailyjagran.com/india/doda-cloudburst-jammu-and-kashmir-flash-floods-photos-videos-chenab-river-kahara-paddar-bhalessa-doda-floods-kashmir-weather-updates-10262814,"Jammu Rains: 6 Killed, 14 Injured In Landslide At Vaishno Devi Route; 4 Dead In Doda As Heavy Rains Wreak Havoc Across J-K
Jammu Rains: At least 10 people were killed while dozens sustained injuries in rain-related incidents across Jammu and Kashmir. Telecom services collapsed in large parts of the UT, while traffic movement on key National Highways was halted due to landslides.
Screengrab from videos shared on X
By
Talibuddin Khan
Tue, 26 Aug 2025 07:58 PM (IST)
Source:
JND
Add as a preferred
Related Articles
Doda Flashfloods
: At least 10 people have died in Jammu and Kashmir on Tuesday after incessant rains caused landslides and flash floods in almost all parts of the Jammu region. Relentless heavy rain also led to havoc in the Kashmir Valley, where infrastructure was severely damaged, with bridges collapsing and mobile towers and electricity poles breaking like virtual twigs.
While six people were killed in Reasi after a landslide hit the Mata Vaishno Devi route, at least 4 people have died in rain-related incidents in Gandhor and Thathri towns of Doda district. Three of these slipped and fell into the river, drowning in the swift-flowing waters, while one died in a house collapse.
Meanwhile, the Mata Vaishno Devi Yatra has also been suspended due to the landslide, till further orders. Telecom services collapsed in large parts of the union territory, leading to millions being cut off from communication and escalating problems.
ALSO READ:
More Cloudbursts To Hit Jammu And Kashmir? Authorities Issue Advisory Amid Intense Rain Forecast
All water bodies in the region are flowing above the danger mark, submerging a number of low-lying areas and roads in the city and elsewhere. Nearly 15 houses, three footbridges and a private healthcare centre have been damaged in Doda and neighbouring districts of Rajouri and Kishtwar. Authorities have issued advisories, asking people to stay away from water bodies and landslide-prone areas.
Sudden flash floods reported a while back this morning at Honda Thatri, Gandoh and Bhalessa Region of Doda district in Jammu Kashmir.
Video By - Istyak Malik
pic.twitter.com/3FpGeeWRCK
— Naveen Reddy (@navin_ankampali)
August 26, 2025
According to Doda Deputy Commissioner, Harvinder Singh, reports of a
cloudburst
have emerged from two places. Meanwhile, people have been shifted to safe locations, and the rescue of trapped or missing persons is underway.
""The highest flood level of the Chenab River is 900 feet, and currently it has already reached 899.3 meters, so there is a difference of one and a quarter meters. The way it is raining, we are expecting that the HFL will be breached. We have limited the movement of people near the Chenab River and on the roads adjacent to the Chenab River,"" DC Havinder Singh said.
#WATCH
Doda, J&K: Deputy Commissioner Harvinder Singh says, ""It has been raining continuously for three days... Especially in the areas of the Chenab River... Reports of cloud bursts have come from two places... NH 244 has also been washed away in a cloud burst. Our team is busy…
https://t.co/XsZFOAqJ5e
pic.twitter.com/se3LxAASSv
— ANI (@ANI)
August 26, 2025
A portion of the Paddar road near Traith Nallah in the neighbouring Kishtwar district has been washed off due to the flash floods. The Ramnagar-Udhampur road in Udhampur and the Jangalwar-Thathri road in Doda have also been closed. Traffic movement along the Jammu-Srinagar national highway has also been suspended due to the shooting stones.
Vaishno Devi Yatra Suspended
A landslide hit the Mata Vaishno Devi Yatra route on Tuesday amid continuous heavy rainfall, leading to the suspension of the pilgrimage until further notice. At least six people have died while 14 others sustained injuries in the landslide, which occurred near the Inderprastha Bhojnalaya at Adhkwari. The disaster struck at a point about halfway along the winding 12-km trek to the hilltop shrine.
The yatra had been suspended on the Himkoti trek route since morning, but it had continued on the old route until 1:30 pm, when authorities decided to suspend it until further orders in view of the torrential rain.
Jammu And Kashmir Weather:
Jammu witnessed heavy rains for the third consecutive day on Tuesday. Almost all the rivers and streams are flowing above or close to the danger mark, submerging a number of low-lying areas and roads in the city and elsewhere.
#WATCH
| Doda, Jammu and Kashmir | Continuous heavy rainfall across Doda district has triggered landslides, mudslides, and shooting stones, leading to the closure of several link roads as well as stretches of the national highway.
pic.twitter.com/0EuHmW5XNu
— ANI (@ANI)
August 26, 2025
Water levels in the Taranah River, Ujh River, Maggar Khad, Sahar Khad, Ravi River, and their tributaries in Kathua are simultaneously rising and nearing the danger mark. The Tawi River has crossed the 20-foot danger mark in Udhampur district, while downstream in Jammu, it is currently flowing below the alert level. Chenab is also flowing close to the warning level in Jammu. The Basanter River in Samba also crossed the danger mark of 4.5 feet this morning.
ALSO READ:
J-K Weather Update: Heavy Rains Trigger Flood-Like Situation, Landslides; IMD Issues Orange Alert | Key Updates
The India Meteorological Department (IMD) in its weather forecast predicted moderate to heavy rainfall at many places in Jammu, Samba, Kathua, Reasi, Udhampur, Rajouri, Ramban, Doda and Kishtwar districts with the possibility of cloudbursts, flash floods and landslides in high altitude areas till August 27."
https://www.thedailyjagran.com/india/jammu-weather-update-jammu-rains-floods-heavy-downpour-disrupts-rail-traffic-trains-cancelled-pilgrimage-suspended-10262890,"Jammu Rains: Heavy Downpour Disrupts Rail Traffic, 18 Trains Cancelled, Pilgrimage Suspended
Jammu Rains: Heavy rains in Jammu region have led to flooding, landslides, and the cancellation of 18 trains, disrupting rail and road traffic.
Image Credits: PTI
By
Priyanka Koul
Tue, 26 Aug 2025 05:52 PM (IST)
Source:
JND
Add as a preferred
Related Articles
Jammu Rains:
The Northern Railway has cancelled 18 trains to and from Katra, Udhampur and Jammu railway stations on Tuesday as relentless heavy rain wreaked havoc in the Jammu region, officials said.
Relentless heavy rainfall in the Jammu region has forced Northern Railway to cancel 18 trains to and from Katra, Udhampur, and Jammu railway stations. The unprecedented downpour, described as the heaviest in decades since Monday night, has damaged bridges, flooded large areas, and disrupted road connectivity, compelling residents to move to safer locations.
The deluge has also suspended traffic on the Jammu-Srinagar and Kishtwar-Doda national highways, while several hilly roads were blocked or damaged by landslides and flash floods. Authorities have temporarily halted the pilgrimage to the Mata Vaishno Devi shrine as a precautionary measure.
ALSO READ:
Jammu Rains: 3 Dead In Doda, Key Roads, National Highways Shut Due To Landslides; Vaishno Devi Yatra Suspended
A railway official stated, ""Eighteen trains have been cancelled. Four trains have been subjected to short terminations. This has been done in view of the weather conditions prevailing in the region.""
ALSO READ:
Jammu-Kashmir Faces Call, Internet Blackout As Heavy Rains Cause Fibre Cuts
Among the cancelled trains, seven originated from Katra, two from Udhampur, and one from Jammu. Services to Katra and Udhampur have also been suspended. Train operations from Pathankot to Kandrori in Himachal Pradesh were halted due to heavy soil erosion and flash floods on the Chakki river.
Additionally, four trains were short-terminated at Firozpur, Manda, and Chak Rakhwalan, while movement on the Katra-Srinagar stretch continued under close monitoring, officials added."
https://www.thedailyjagran.com/india/madhya-pradesh-family-members-tie-hands-beat-retired-dsp-over-money-dispute-in-shivpuri-probe-on-10262881,"Retired DSP Beaten Up By Wife And Sons In MP Village For Money; Video Of Assault Goes Viral
Madhya Pradesh News: The officials stated that the family members tied Yadav's hands and legs with rope and snatched his mobile phone and ATM card forcefully. While one of the sons is seen sitting on the victim's chest, the other one is seen tying his hands up in an attempt to snatch the ATM card.
A retired DSP was assaulted by his wife and sons; IMAGE CREDIT: X
By
Aditya Jha
Tue, 26 Aug 2025 05:34 PM (IST)
Source:
JND
Add as a preferred
Related Articles
Madhya Pradesh News:
A retired Deputy Superintendent of Police (DSP) in Madhya Pradesh's Shivpuri district reportedly got physically assaulted by his sons and wife over a money dispute. A video related to the incident has gone viral on several social media platforms in which the accused are seen assaulting the former bureaucrat by tying him up. However, the family members later claimed that they were helping the retired DSP, calling him ""mentally sick"" upon intervention of villagers. The police officials stated that a case has been lodged under several sections of Bharatiya Nyay Sanhita (BNS).
The police officials, while providing details, stated that Pratipal Singh Yadav, the retired bureaucrat, was assaulted by his wife and sons, Akash and Abhas, reported India Today. The officials further stated that the family members tied Yadav's hands and legs with rope and snatched his mobile phone and ATM card forcefully. While one of the sons is seen sitting on the victim's chest, the other one is seen tying his hands up in an attempt to snatch the ATM card.
🚨 शिवपुरी की बड़ी खबर
रिश्तों में पैसे की कलंकित सच्चाई सामने आई।
रिटायर्ड DSP के साथ जुड़ा विवाद अब चर्चा का विषय बन चुका है।
क्या वाकई पैसों से बड़ा कोई रिश्ता नहीं?
#Shivpuri
#MadhyaPradesh
#newsupdate2025
pic.twitter.com/FeIMWx5qA9
— Pramod Dagal (MEENA) (@pramodDagal)
August 26, 2025
ALSO READ:
UP DGP Directs Strict Timeline For Chargesheet Filing, Warns Against Delay Under Special Drive
“Recently retired DSP Pratipal Singh was assaulted by his wife Maya Yadav and sons Akash and Abhas. They tied him, snatched his mobile and ATM card. A case has been registered, and further investigation is underway,” one of the police officials was quoted as saying by India Today.
The locals stated that the ex-officer has been living separately for the past 15 years, adding that his family members wanted a share of his retirement money, which he received in 2025 upon retirement.
ALSO READ:
Indian Navy Commissions Warships Udaygiri, Himgiri; Know About Advanced Stealth Frigates, Features And More
The retired officer has lodged a formal complaint against his family members, and a probe has been launched into the matter. However, his family members claimed that they wanted the retired officer to live with them, as his “mental condition is not stable.”"
https://www.thedailyjagran.com/india,
https://www.thedailyjagran.com/india/hyderabad-man-duped-of-lakhs-after-intimate-call-with-match-on-dating-app-heres-what-happened-10262935,"Hyderabad Man Duped Of Lakhs After Intimate Call With 'Match' On Dating App; Here’s What Happened
Hyderabad Crime News: A man, who stripped naked on a video call for a woman he met on a dating app, fell prey to sexortion fraud. The man lost Rs 1.7 lakh after the accused threatened him to leak his private videos.
The man lost Rs 1.7 lakh after the accused threatened him to leak his private videos. (Representational Image: Canva)
By
Shibra Arshad
Tue, 26 Aug 2025 08:19 PM (IST)
Source:
JND
Add as a preferred
Related Articles
Hyderabad News
: An intimate call with partner landed a 25-year-old into sexortion fraud, leading to a loss of nearly 2 lakh rupees. A man, who stripped naked on a video call for a woman he met on a dating app, fell prey to sexortion fraud.
The man lost Rs 1.7 lakh after the accused threatened him to leak his private videos. When the demand for money continued, the man narrated the case to the police after he got frustrated with the situation.
ALSO READ:
He Just Wanted To Buy Buffalo Online; UP Farmer Was Scammed Out Of Rs 69,000
A 25-year-old man from Gachibowli met a woman named Varsa Rawat on a dating app. They matched on August 19 and started chatting on Instagram, later moving to WhatsApp. As their connection grew stronger, the conversation led to a video call on August 22, during which the man was allegedly coerced into compromising positions after the woman on the video call removed her clothes, Times of India reported.
The woman allegedly recorded his screen without telling him, and started blackmailing him for money, extorting 1.7 lakh rupees.  “She accessed my social media contact list and threatened to circulate my intimate footage among friends and relatives unless I paid her money,” the victim was quoted as alleging in the report.
Scared of the consequences, the victim proceeded to transfer Rs 1.7 lakh in multiple transactions, as demanded by the fraudster. However, the demands for money did not stop with the accused continuing to ask for more money. Exhausted and frustrated, the victim approached the Cyberabad cybercrime police on Sunday.
ALSO READ:
Jammu Rains: 6 Killed, 14 Injured In Landslide At Vaishno Devi Route; 4 Dead In Doda As Heavy Rains Wreak Havoc Across J-K
The police have since registered a case under sections 318(4) (cheating and dishonestly inducing delivery of property) and 308(2) (extortion) of the Bharatiya Nyaya Sanhita (BNS), along with Section 66-D of the Information Technology Act. Using the phone numbers, social media handles, and bank transactions provided, the police are currently working to track down the accused."
https://www.thedailyjagran.com/india/hyderabad-traffic-advisory-several-routes-closed-for-khairatabad-ganeshotsav-2025-these-roads-to-be-shut-from-aug-27-to-sept-6-10262899,"Hyderabad Traffic Advisory: Several Routes Closed For Khairatabad Ganeshotsav 2025, THESE Roads To Be Shut From Aug 27 To Sept 6
Hyderabad Ganeshotsav Traffic Advisory: There is a high possibility of a large gathering during the Ganeshotsav 2025. Hence, Hyderabad traffic police have urged motorists to avoid several routes.
The restriction has particularly been imposed, given the installation of the Khairatabad bada Ganesh idol. (Representational Image)
By
Shibra Arshad
Tue, 26 Aug 2025 06:21 PM (IST)
Source:
JND
Add as a preferred
Related Articles
Hyderabad Traffic News
: The Hyderabad traffic police has issued a traffic advisory in view of a large crowd likely to gather on the Ganeshotsav celebration from August 27 to September 6. The traffic restrictions will be in place from August 27, which is the installation date for the idol of Lord Ganesha, to September 6, the date of the Idol's immersion.
The restriction has particularly been imposed, given the installation of the Khairatabad bada Ganesh idol.
Hyderabad Traffic Advisory: Following Routes Closed Due To Ganeshotsav 2025
There is a high possibility of a large gathering during the Ganeshotsav 2025. Hence, Hyderabad traffic police have urged motorists to avoid the following routes-
-Khairtabad
- Shadan College
- Nirankari
- Old Saifabad police station
- Mint Compound
- and Necklace Rotary.
ALSO READ:
Tarot Predictions August 27, 2025: Aries Must Remain Careful, Success To Kiss Virgo’s Feet
Hyderabad Ganeshotsav Traffic Advisory: Here’s List Of Alternate Routes
There will be traffic restrictions in place from tomorrow, August 27, to September 6 in Hyderabad for Ganeshotsav and Khatirbad Bada Ganesh installation and immersion. Here’s the detail on traffic diversion-
- VV Statue to Mint Compound: Traffic will be diverted from Rajiv Gandhi statue to Nirankari Junction.
- Old PS Saifabad to Bada Ganesh: Traffic will be diverted from Rajdoot lane to Iqbal Minar
- Iqbal Minar to Imax Theatre: Traffic will be diverted from Mint Compound to Secretariat Temple crossroad and then to Telugu Talli junction.
- Necklace Rotary to Mint Compound: Traffic will be diverted to either Telugu Talli junction or Khairatabad flyover.
Nirankari To Khairatabad Railway Gate: Traffic from Nirankari via Khairatabad Post Office towards Khairatabad railway gate will be redirected to Old PS Saifabad junction.
ALSO READ:
Bengaluru Traffic Advisory: Diversions, Parking Restrictions Announced Around Halasuru Lake For Ganesh Idol Immersions From August 27 To 31
Hyderabad Traffic Advisory On Ganeshotsav: Parking Details
- For visitors from Necklace Rotary and NTR Garden, parking facilities are available at:
- Race Road
- NTR Ghat
- HMDA parking beside IMAX Theatre
- Open place opposite the IMAX Theatre
- Saraswathi Vidya Mandir High School premises
- For those coming from Khairatabad junction, parking is available at Visvesvaraya Bhavan."
https://www.thedailyjagran.com/india/indian-navy-to-commission-udaygiri-himgiri-at-visakhapatnam-on-aug-27-what-aare-advanced-stealth-frigates-features-and-more-10262780,"Indian Navy Commissions Warships Udaygiri, Himgiri; Know About Advanced Stealth Frigates, Features And More
The Indian Navy commissioned two advanced Project 17A stealth frigates, Udaygiri and Himgiri, today at Visakhapatnam. This first-ever simultaneous induction from different shipyards boosts eastern maritime security. With 75 percent indigenous content, the frigates signify India’s naval modernization and Aatmanirbhar Bharat vision.
Indian Navy to Commission Udaygiri, Himgiri At Visakhapatnam           (Twitter)
By
Yashashvi Tak
Tue, 26 Aug 2025 05:06 PM (IST)
Source:
JND
Add as a preferred
Related Articles
The Indian Navy commissioned two advanced Project 17A stealth frigates, Udaygiri and Himgiri, at the Naval Base in Visakhapatnam, Andhra Pradesh, on Tuesday. Defence Minister Rajnath Singh presided over the ceremony, which marked the first-ever simultaneous commissioning of two frontline warships constructed at different shipyards.
Highlighting the strategic significance of India’s eastern coastline, the addition of two cutting-edge warships to the Indian Navy marks a major boost to the nation’s maritime capabilities.
Raksha Mantri Rajnath Singh said, ""INS
Himgiri
manufactured by Garden Reach Shipbuilders and Engineers (GRSE) and INS Udayagiri manufactured by Mazagon Dock Shipbuilders Limited are both modern warships that have been manufactured indigenously. I have been told that there are many advanced capabilities in these warships. They can accommodate long range surface to surface air missiles, supersonic Brahmos missiles, indigenous rocket launchers, torpedo launchers, combat management system, and fire control systems. These two warships will prove to be a game-changer in dangerous operations at sea.""
Indian Navy is set to commission the frontline stealth frigates, Udaygiri and Himgiri.
#IndianNavy
is preparing for the simultaneous commissioning of two advanced frontline frigates - Udaygiri (F35) & Himgiri (F34) on 26 Aug 25.
This will be the first time that two major…
pic.twitter.com/g6sb9HsELc
— All India Radio News (@airnewsalerts)
August 10, 2025
ALSO READ:
What Is Hangor-Class Submarine? Pakistan Gets 3rd Yuan Class Warship From China | Comparison With India’s Kalvari Fleet EXPLAINED
Both warships are products of a robust industrial ecosystem involving over 200 MSMEs, generating around 4,000 direct and over 10,000 indirect jobs. Their commissioning highlights India's advancing naval modernisation and capability to deliver complex warships from multiple shipyards. With 75 percent indigenous content, the frigates reflect the government's Aatmanirbhar Bharat vision in defence manufacturing.
What Are Udaygiri, Himagiri And Their Features?
1. Udaygiri and Himgiri are part of the Indian Navy's latest Project 17A, a state-of-the-art class of stealth frigates.
2. Their commissioning marks the first time two frontline surface combatants built at different shipyards will be commissioned simultaneously.
3. Both ships are follow-ons to the Project 17 (Shivalik) class frigates, featuring major upgrades in design, stealth, weapons, and sensor systems.
4. They are capable of executing a full spectrum of maritime missions in blue water conditions.
5. Udaygiri is the second ship under Project 17A, built by Mazagon Dock Shipbuilders Limited (MDL) in Mumbai.
#WATCH
| Andhra Pradesh: Indian Navy releases a video on the warship Himgiri, which would be commissioned into the force today in Visakhapatnam.
(Source: Indian Navy)
pic.twitter.com/fTtcR1dQIm
— ANI (@ANI)
August 26, 2025
6. Udaygiri is also the fastest ship of her class to be delivered post-launch, thanks to modular construction techniques adopted by Indian shipyards.
7. Himgiri is the first Project 17A ship constructed by Garden Reach Shipbuilders & Engineers (GRSE), Kolkata.
8. Both ships represent a generational leap over earlier designs, incorporating advanced features and enhanced capabilities.
9. Displacing approximately 6,700 tons, Project 17A frigates are about 5% larger than the Shivalik-class and have a reduced radar cross-section due to their sleeker form.
10. The frigates are equipped with advanced Indian-made weapons and sensors, including supersonic surface-to-surface missiles, medium-range surface-to-air missiles, a 76 mm MR gun, and close-in weapon systems of 30 mm and 12.7 mm calibers.
11. Udaygiri is also the 100th warship designed by the Navy’s Warship Design Bureau (WDB), marking a key milestone in five decades of indigenous warship design.
ALSO READ:
Indian Navy Recruitment 2025: Apply For 1,266 Civilian Tradesman Skilled Posts At indiannavy.gov.in,  Check Key Dates, Vacancy Details, Eligibility Criteria Here
12. The induction of Udaygiri and Himgiri will enhance the Navy’s combat capabilities and reinforce India’s commitment to self-reliance in warship design and manufacturing.
Upon commissioning, the two frigates will be inducted into the Eastern Fleet, enhancing India's capability to protect its maritime interests throughout the Indian Ocean Region, the Ministry of Defence stated in a press release on Monday.
(With PTI Inputs)"
https://www.thedailyjagran.com/india/fact-check-old-video-resurfaces-with-edited-audio-claiming-tejashwi-yadav-slammed-ec-using-a-bhojpuri-song-10262928,"Fact Check: Old Video Resurfaces With Edited Audio Claiming Tejashwi Yadav Slammed EC Using A Bhojpuri Song
Vishvas News investigated the viral post and found it to be fake. This video is edited and the real video dates back to May 2024, when Tejashwi Yadav played old audio clips of Prime Minister Narendra Modi speeches on the speaker, accusing him of not fulfilling his promises.
Fact Check
By
Pallavi Mishra
Tue, 26 Aug 2025 07:51 PM (IST)
Source:
JNM
Add as a preferred
Related Articles
Fact Check:
Ahead of the upcoming Bihar elections, the Congress party has intensified its attack on the government and the Election Commission (EC), accusing them of ""vote theft"" and voter list irregularities, even launching a 'Voter Adhikar Yatra' to highlight the issue. Amid this, a video of RJD leader Tejashwi Yadav has gone viral on social media, claiming that during the yatra, he played a Bhojpuri song on a portable speaker, alleging that the BJP and the EC were stealing votes.
Vishvas News investigated the viral post and found it to be fake. This video is edited and the real video dates back to May 2024, when Tejashwi Yadav played old audio clips of Prime Minister Narendra Modi speeches on the speaker, accusing him of not fulfilling his promises.
What is Going Viral
Facebook user 'News Ink Awaaz Sach Ki' posted this
video
on August 22, 2025, with the caption, “During the Voter Adhikar Yatra, Tejashwi Yadav played a song on BJP 'vote theft' to the public in his rally. (
archive link
)
Investigation
To verify the viral video, Vishwas News extracted several key frames and searched them using the Google Lens tool. This led us to the full version of this clip, uploaded on Tejashwi Yadav's official X account on May 1, 2024. It clearly shows him playing old audio clips of PM Modi’s speeches on a speaker, not a Bhojpuri song.
कल चुनावी सभा में एक साथी ने 𝐏𝐨𝐫𝐭𝐚𝐛𝐥𝐞 𝐁𝐥𝐮𝐞𝐭𝐨𝐨𝐭𝐡 𝐒𝐩𝐞𝐚𝐤𝐞𝐫 लाकर दिया। इसमें क्या है? यह आप भी सुनिए और औरों को सुनाइये।
प्रधानमंत्री जी द्वारा 𝟏𝟎 वर्षों में किए गए वादे अब जनता 𝐒𝐩𝐞𝐚𝐤𝐞𝐫 पर सुन और सुना रही है। इतना झूठ बोला गया है कि अब समेटें नहीं…
pic.twitter.com/k7fa6kSVAh
— Tejashwi Yadav (@yadavtejashwi)
May 1, 2024
A
News 24 report
on its YouTube channel, dated May 1, 2024, also confirms that Yadav played audio clips of PM Modi on the speaker.
We also came across a related news report on
Zee Bihar Jharkhand
's YouTube channel, dated May 1, 2024.
We also contacted Dainik Jagran journalist Prem Shankar Mishra, who covers Muzaffarpur. He confirmed that this video dates back to 2024 and, in the original video, audio clips of PM Modi's old speeches were played, not a song.
Lastly, we investigated the Facebook account of the user 'News Ink Awaaz Sach Ki' who posted the fake post and found that the user has over 700 followers.
Conclusion:
Vishvas News, in its investigation, found the viral post to be fake. Tejashwi Yadav did not play any Bhojpuri song, accusing the Election Commission of vote theft. The original video, from May 2024, shows him playing old speeches of PM Modi during a rally to criticise the BJP."
